RecipeName,Ingredients,Calories,Carbon Footprint Amt,Cuisine,Course,Diet,Instructions
Baby Corn Cigar Recipe,"10 Baby corn - to be blanched,3 tablespoons Whole Wheat Bread crumbs - roasted,2 tablespoons Corn flour,1/2 tablespoon Extra Virgin Olive Oil,1 tablespoon Vinegar,1 Potato (Aloo) - boiled and mashed,1 tablespoon Coriander (Dhania) Leaves - chopped,1 teaspoon Pizza seasoning,1/2 teaspoon Garlic - paste,1 tablespoon Red Chilli powder - adjust accordingly,1 tablespoon Green Chilli Paste,1/2 tablespoon Ginger - paste,Salt - to taste,Sunflower Oil - for frying",200,moderate,North Indian Recipes,Appetizer,Vegetarian,"To prepare baby corn cigar recipe, start by blanching the baby corn. Make sure you do not overdo it. 2-3 minutes in hot water and immediate transfer to ice water will do just fine.Slit baby corn longitudinally into two.Boil the potatoes and mash them well with a masher.Take a mixing bowl, add red chili and pizza seasoning, garlic paste, salt and then the vinegar. Mix.Drizzle olive oil and give a nice mix. Add slit baby corn, coat them well with the prepared mixture. Keep aside for 10 minutes.Add coated baby corn onto a heavy bottomed pan and let it cook on medium heat for 2 minutes. Flip and cook for further 2 minutes such that garlic paste and other spices are well cooked.Remove from heat and let it cool.In another pan, add mashed potato, 1-1/2 tablespoon ginger chili paste, cornflour, coriander leaves and salt and mix them well to combine.Apply some oil to your palms such that the mixture doesn’t get too much sticky. Take some mashed potato mixture about the size of a small lemon between your palms, roll it out cylindrically and flatten it. Keep the blanched and split baby corn in the center and cover it completely with potato mixture. This appears cigar-shaped at this stage.Repeat rolling out baby corn cigars similarly until you use up all baby corn and potato mixture.Keep a Kadai on medium heat and add oil for deep frying.While the oil is heated, roll cigars one by one in breadcrumbs and ensure it get coated from everywhere. (You can also oil the cigars a bit to make the breadcrumbs stick nicely)Deep fry the baby corn cigars in batches till golden brown and place on kitchen towel to drain excess oil.These baby corn cigars goes well with dips like Cottage Cheese Dip Recipe with Pepper and Olives or Tzatziki."
Wheat Millet Thepla Recipe - Bajra Masala Paratha,"1 cup Bajra Flour ( Pearl Millet),1/2 cup Whole Wheat Flour,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Black pepper powder,1 inch Ginger - grated,1 Green Chilli - finely chopped,4 sprig Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - as required",100,low,Gujarati Recipes?,Main Course,Diabetic Friendly,"To begin making the Gehu Bajra Thepla Recipe, combine the bajra flour, whole wheat flour, turmeric powder, black pepper powder, ginger, green chilli, and coriander leaves, in a large mixing bowl. Add little water at a time and knead to make a smooth and firm dough. Drizzle some oil on the top and knead for a few more minutes until smooth. Cover the thepla dough and allow it to rest for half an hour.Preheat the iron skillet on medium heat. Divide the dough into 6 to 8 portions.Roll the thepla portions into balls; flatten them with the palm of your hand. Toss the thepla dough on flour and roll them out into thin circles to approximately 6 inches in diameter.As you roll them out, you can keep tossing the dough in dry flour to prevent sticking when rolling them out.Continue the same process of rolling the thepla dough out with the remaining balls. It is ideal when you can roll out the all portions of dough before you can start cooking them. Method of Cooking the Gehu Bajra TheplaWith skillet on high heat, place the rolled out Gehu Bajra thepla on the skillet. After a few seconds you will notice small air pockets popping out.At this point flip the Gehu Bajra thepla and smear about half a teaspoon of oil and using a flat spatula and do a light pressing and turning motion to cook to the thepla.Flip to the other side and press and turn in a similar way. You will notice brown spots around the cooked Gehu Bajra thepla. Remove from heat and place the thepla on a flat plate. Continue the similar process with the remaining rolled out portions and stack the cooked Gehu Bajra thepla one above the other. Stacking them maintains softness and prevents the thepla’s from drying out, preserving moisture.Serve the Gehu Bajra Thepla with Bangain Bharta and Jaggery for dinner. "
Kaju Badam Ladoo Recipe,"1 cup Cashew nuts,1 cup Badam (Almond),1 1//4 cups Sugar,1/2 cup Water,1 teaspoon Cardamom Powder (Elaichi),Ghee - for greasing",450,moderate,Indian,Dessert,Vegetarian,"To begin making the Kaju Badam Ladoo we will first soak the almonds in hot water for 15 minutes. Once soaked, peel the skin from the almonds and keep aside. Drain the water and wipe the almonds dry.Soak cashews for 15 to 20 minutes as well. After soaking, drain and wipe dry. Grind soaked almonds (badam) and cashews (kaju) together into smooth paste. Keep this kaju badam paste aside.The next step is to make a sugar syrup for the ladoos. Bring sugar and water to boil and wait until the sugar syrup reaches 1 string consistency. It is very important to get the sugar syrup to 1 string consistency if you miss this step, the burfi/balls will be not set and harden.Once you have a one string consistency of the sugar syrup, add the cashew almond paste and the cardamon powder. Mix the paste until well combined. Keep flame to medium low and keep stirring the kaju badam mixture continuously.Big bubbles will begin to form and you need to keep mixing constantly, else they will start burning. Keep stirring till the mixture becomes thick. It will take you approximately 30 to 40 minutes until the mixture has thickened and comes away from the sides of the pan and starts looking like a very soft dough.To test, pinch a tiny piece of dough and roll into ball and place it on a plate, if the ball holds it's shape then it is cooked properly, the mixture is ready. If you prefer to cut them into diamonds or square shapes, grease a pan with ghee all over and transfer the dough into the pan and level it even. Since I wanted to shape them into balls I waited until the dough cooled a bit and then while it was still warm I rolled them into bite size balls.Kaju Badam Ladoo to cool completely and store them in airtight container for about 5 days or refrigerate it for longer storage.Serve Kaju Badam Ladoo after your everyday meal of Jodhpuri Aloo, Ajwain Puri and Boondi Raita."
Spaghetti Aglio Olio With Parmesan & Greens Recipe,"400 grams Spaghetti Pasta,200 grams Spinach - or amaranth leaves,4 cloves Garlic - finely chopped (big size),Lemon zest - a pinch,Salt - to taste,3 tablespoons Extra Virgin Olive Oil - adjustable,1/4 cup Parmesan cheese - grated or powdered",150,low,Italian Recipes,Dinner,Vegetarian,"To begin Spaghetti Aglio Olio With Parmesan & Greens, cook the spaghetti in boiling water along with salt until it is al dente (firm yet cooked).Once the spaghetti is cooked, wash the spaghetti in running water to stop the cooking process. Drain the excess water and toss the spaghetti in a little olive oil, so it does not stick together.Heat a tablespoon of oil in a wok over medium heat; add the garlic and saute for a few seconds until it begins to sizzle. At this stage add the roughly chopped greens, sprinkle salt and cook the greens until softened.Add the lemon zest, the cooked spaghetti, remaining olive oil and chili flakes. Toss all the ingredients together in a wok until combined. Check the salt and adjust to suit your taste.Once done, turn off the heat and transfer to a serving bowl. Spread the parmesan cheese on the top and serve.Serve Spaghetti Aglio Olio With Parmesan & Greens along with a glass of wine and garlic bread for a perfect summer weeknight dinner."
Mushroom Dumpling Recipe With Potatoes (Momos),"200 grams Button mushrooms - finely chopped,1 Potato (Aloo) - boiled and mashed,1 Onion - finely chopped,1 Green Chilli - finely chopped,1 inch Ginger - grated,Salt - to taste,1 teaspoon Sunflower Oil,1 cup All Purpose Flour (Maida)",300,moderate,Asian,Snack, Vegetarian,"To begin making the Mushroom Dumpling Recipe, we will first make the dough. To make the dumpling (momo) dough;  add the flour into a large mixing bowl, add a little water at a time to the flour and knead well to make a smooth and yet firm dough. We don't add the salt or oil to make the dumpling dough. Cover the dough and allow it to rest for about 20 minutes, till we get the filling ready.Next step is the make the filling for the dumplings. Heat the oil in a saucepan on medium heat.  Add the mushrooms, sprinkle some salt and stir fry on high heat until the mushroom become tender. Mushrooms release a lot of water, so stir-fry until all the moisture evaporates.Once the mushrooms are cooked and dry, allow it to cool. Once the mushrooms cool down, add it to a large bowl and combine it with the remaining filling ingredients including the oil. Our final step is to make the Mushroom DumplingsDivide the dough into small lemon sized portions of an inch in diameter. Dust the dough portions in flour and roll out into a circle. Don’t roll too thick, as the filling will push itself out and tear when steamed.Place a small spoon of filling in the center of the rolled circle. Bring together the edges of the dough with a pinching and folding motion on one side and bring the other side to hold to the pinched side. By doing this, the half moon shaped momos (dumplings) will have a frilled look. Proceed the similar way with the remaining dough.As you keep shaping the dumplings (momos) you need to keep them on a greased platter and cover with a damp cloth to prevent them from drying out.While you are shaping the dumplings (momos), keep a steamer with water boiling. Grease the steamer pan with some oil to prevent the momos from sticking.Place the shaped dumplings (momos) on the greased steamer pan. So when you have one set of shaped dumplings, place them in the steamer and steam on high for 5 to 7 minutes until you see a glaze on the skin. Serve the Mushroom Dumplings along with a hot and spicy Homemade Red Chilli Garlic Sauce Recipe as a tea time snack or as an appetizer for parties with Chinese Vegetable Dry Manchurian Balls Recipe."
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,"4 Tomatoes - finely chopped,2 sprigs Curry leaves,2 Green Chillies - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 sprig Coriander (Dhania) Leaves - finely chopped,Salt - or rock salt to taste,1 pinch Sugar",200,low,South Indian Recipes,Side Dish,Vegetarian,"We begin making the Tomato Curry Leaf Chutney With No Onion No Garlic Recipe by heating the kadai with oil and add all the ingredients.Saute for about 15 minutes till the tomatoes become mushy and the raw smell goes away.Once it has cool down , blend it in a mixer till it becomes a smooth paste.Serve your Tomato Curry Leaf Chutney With No Onion No Garlic Recipe with Rajgira Panner Paratha Recipe to enjoy your morning breakfast."
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,"1 cup Whole Wheat Flour,1/2 cup Instant Oats (Oatmeal),1/4 cup Extra Virgin Olive Oil,1 teaspoon Salt,1 teaspoon Ajwain (Carom seeds),Water - to knead,1 cup Green peas (Matar),1 Green Chilli,1 sprig Coriander (Dhania) Leaves,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Chaat Masala Powder,1 teaspoon Red Chilli powder,Salt - to taste",150,moderate,North Indian Recipes,Snack,Vegetarian,"We begin making the Oats and whole wheat Kachori stuffed with Peas Recipe make dough for the outer layer first, add whole wheat flour, oats and ajwain, salt, and oil in a mixing bowl and mix well with fingers and palm.Add water to make a smooth and firm dough. Rest the dough for 15 minutes. Once it is done resting, divide the dough into small equal rounds. While the dough is resting make the stuffing, grind all the ingredients mentioned in the list to a coarse mixture and keep it aside.Now to stuff the dough with filling, take one ball and press the sides of dough with fingers so that the center of the kachori is a little thick.Fill the center with a tablespoon of stuffing and seal it from all sides to form the kachori. Repeat the same for the rest of the kachoris.Meanwhile, preheat Oven to 180 degrees Celsius for 10 minutes. Place an aluminum foil on a baking tray and brush it with oil.Place kachoris at a half inch distance from each other and brush upper portion of kachoris with oil. Bake in oven for 20 minutes at 180 degrees Celsius. You can brush it with honey to give a nice golden colour. Serve the Oats and whole wheat Kachori stuffed with Peas Recipe along with cup of Masala Chai Recipe - Indian Spiced Tea or you use it to make a Raj Kachori Recipe for your evening snack."
Masala Carrot And Peas Sandwich Recipe,"6 Whole Wheat Brown Bread,1 cup Carrot (Gajjar) - grated,1 cup Green peas (Matar) - boiled,5 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1/2 teaspoon Black pepper powder,1 teaspoon Chaat Masala Powder,1/4 cup Cheese - grated,Salt - to taste",100,low,Continental,World Breakfast,Vegetarian,"To begin making Carrot and Peas Sandwich Recipe, heat 1 tablespoon oil in a pan. Once the oil is heated, add finely chopped garlic and green chillies in the pan.Saute for a few seconds and add the grated carrots and boiled green peas and let it cook for 10 minutes or till the vegetables are cooked through.Once done add black pepper powder and chaat masala and stir. Add salt according to your taste and mix everything properly. Turn off the heat and keep aside. Now to prepare the sandwich, take a slice of bread and spread some filling evenly on the slice.Garnish the carrot and peas mixture layer with grated cheese. Close it with another slice of bread. Grill the sandwich in a grilling pan from both the sides till golden brown. Cut the sandwhich diagonally and serve hot.Serve Carrot and Peas Sandwich along with a hot cup of Masala Chai or Cantaloupe Pomegranate and Mint Juice ."
Aam Panna Pani Puri Recipe,"18 Pani Puris,2 Potato (Aloo) - boiled,1/4 cup Green Moong Sprouts - 1/4 cup green moong sprouts,Salt - to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Chaat Masala Powder,1/2 teaspoon Red Chilli powder,1 Mango (Raw),10 Mint Leaves (Pudina),1 teaspoon Cumin powder (Jeera),Black Salt (Kala Namak) - to taste,1/2 teaspoon Black pepper powder,2 tablespoons Sugar",150,low,North Indian Recipes,Appetizer,Vegetarian,"To begin making the Aam Panna Pani Puri Recipe, we will first make the Aam Panna Pani. In a pressure cooker, peel the raw mango and add the whole raw mango along with 1/2 cup of water and pressure cook for 4 whistles. It has to be cooked until they become soft and tender. Turn off the flame. Allow the pressure to release naturally.  Open the lid, drain the water, transfer the mangoes into a bowl and allow the mangoes to cool . Extract the pulp from the cooked raw mango and discard the seed. You will be left with the cooked raw mango pulp. In the bowl with the cooked raw mango pulp, add in the mint leaves, cumin powder, black salt , black pepper powder and sugar. Transfer this mixture into a mixer jar and grind into a smooth puree.Transfer the aam panna into a serving bowl, add 1 cup of water and mix well. Check the taste and spices and adjust accordingly. Chill the Aam Panna Pani in the refrigerator.For the Pani Puri filling, in a mixing bowl, mash the potatoes, add the green moong sprouts and the dry masalas- chaat masala, cumin powder and red chilli powder. Mix well.  Check the taste of the aloo masala and adjust salt or seasoning if required.Serve Aam Panna Pani Puri Recipe, by slightly cracking the puris on the top to make an opening, stuff the potato-sprouts filling, fill it with the Aam Panna Pani. Serve Aam Panna Pani Puri Recipe as an appetizer along with a fun party meal of Rawal Pindi Style Chole Recipe, Bhatura , Mumbai Style Tawa Pulao Recipe with Moong Sprouts and finish of with a dessert of Double Ka Meetha Recipe With Mixed Nuts Rabri."
Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),"500 grams Gunde (bird lime),1 teaspoon Methi Seeds (Fenugreek Seeds),Sunflower Oil - as required,Water - as required,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 teaspoon Fennel seeds (Saunf),1/2 teaspoon Mustard seeds,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),Coriander (Dhania) Leaves - few",50,low,Rajasthani,Side Dish,Vegetarian,"To begin making the Rajasthani Gunde Ki Sabzi, firstly boil the gunde in a saucepan with water, drain the water, remove the seeds and keep it aside to cool down for about an hour.Once it is done, heat oil in a heavy bottomed pan. Add cumin seeds, mustard seeds, fennel seeds, fenugreek seeds and hing.Let it cook for about a minute and then add the boiled gundas and mix it properly.Next, add turmeric powder, red chilli powder, amchur powder and the required salt. Give it a stir and let it cook for about 3 to 4 minutes.After 3 to 4 minutes, switch off the stove and garnish it with chopped coriander leaves.Serve Rajasthani Gunde Ki Sabzi with Panchmel Dal and hot Phulkas for a perfect meal."
Raw Jackfruit Burrito Recipe,"200 grams Jackfruit Raw (Kathal) - peeled and cut into small junks,1 Onion - sliced,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Paprika powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Rajma (Large Kidney Beans) - soaked and boiled,1 Onion - chopped,1 Tomato - chopped,4 cloves Garlic - chopped,1 tablespoon Cumin powder (Jeera),1 tablespoon Red Chilli powder,1 teaspoon Black pepper powder,1 teaspoon Sugar,Salt - to taste,1/4 cup Cooked rice,1 tablespoon Dried Thyme Leaves,1 tablespoon Paprika powder,Salt - to taste,1/2 Red Bell pepper (Capsicum),1/2 Yellow Bell Pepper (Capsicum),1/2 Green Bell Pepper (Capsicum),1/2 Onion,1 teaspoon Paprika powder,1 teaspoon Cumin powder (Jeera),Salt and Pepper,1 cup Sour cream,1 cup Tomato Salsa,2 Tortillas",200,moderate,Mexican,Lunch,Vegetarian,"To make the refried beansTo begin making the Raw Jackfruit Burrito Recipe, we will first pressure cook the rajma beans in a pressure cooker in about 2 cups of water and salt for at least 30 minutes.Once done, allow the pressure to release naturally and keep it aside. Heat a skillet with oil, add garlic and saute till it softens.Add in onions and saute till they turn translucent and crispy, add in cooked rajma beans and tomatoes together so that the tomatoes remain fresh and juicy as it gets blended with the rajma.Sprinkle salt to taste and spice powders like cumin powder, red chilli powder and pepper powder and give it a mix. Check for seasoning, if required, add some more and keep sautéing until the mixture comes together.To make the Jamaican Raw JackfruitPressure cook the raw jackfruit with 1 cup of water, salt to taste and pressure cook for just one whistle and set aside later to release the pressure naturally.Heat a sauce pan with a tablespoon oil, add ginger and garlic and saute till they turn soft. Later add in the onions and saute till they turn translucent.Once the onions are lightly sautéed, add cooked jackfruit and give it a mix. Sprinkle the spice powders like paprika, pepper, turmeric, cumin, cinnamon and salt to taste.Give it a toss and at the end add a teaspoon of sugar and saute well for at least 5 more minutes. Check for seasonings and set aside to cool.For the riceHeat a sautéing pan with oil, add rice and sprinkle with thyme, paprika powder and salt and give it a toss.For the FajitasHeat a grill pan with oil, add  onions, bell peppers allow it to cook for few minutes. Sprinkle with spice powders like cumin powder, paprika powder and salt. Toss it well and cook till the bell peppers are soft and crunchy. Once done set aside. To make the Mexican salsa and sour cream, click on the link below and follow the steps:How to Mexican salsaHow to make Sour creamTo Assemble the Jerk Raw Jackfruit BurritoWarm up the tortillas for 2 minutes on either side. Place the Tortillia on a flat surface and layer it with rice first.Then add in some Mexican tomato salsa, followed by Jamaican style raw jackfruit, fried beans, fajitas, sour cream and roll the Raw Jackfruit Burrito tightly and them half and serve.Serve the Jamaican Style Jerk Raw Jackfruit Burrito Recipe along with some more Mexican salsa, tortilla chips, sour cream and guacamole to make it a Mexican meal for your Sunday."
Bengali gram dal recipe,"1 cup Chana dal (Bengal Gram Dal),1/2 cup Fresh coconut - cut into small bits,1 tablespoon Ghee,1 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Mustard oil,3 Dry Red Chillies,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves lengthwise,1 inch Ginger - peeled and grated",150,low,Bengali Recipes,Lunch, Vegetarian,"To begin making Bengali Cholar Dal, first wash and soak chana dal in water for an hour or so.Cook soaked dal with 2-1/2 Cups of water , turmeric powder, salt to taste and cook dal for 8 whistles / 30 minutes until the dal is cooked completely. See how to cook lentils (dals/pulses). Let the pressure release naturally and keep aside.In a pan heat mustard oil over medium heat, add the coconut pieces and fry until they turn golden brown. Turn off the heat. Transfer the fried coconut pieces in a bowl. Keep aside until required.In the same pan heat a tablespoon of mustard seeds and add cumin seeds, once seeds crackle add dry red chilies, cloves, bay leaf, cinnamon stick, green chilies and grated ginger.Saute for a few second and add the cooked dal and roasted copra into the pan.  Briskly boil Bengali Style Cholar Dal for three to four minutes and turn off the heat.Transfer the Bengali Style Cholar Dal into a serving bowl; finally garnish with a few more of the roasted coconut pieces and serve hot.Serve the Bengali Cholar Dal with Begun Bhaja  and steamed rice for a wholesome weekend lunch or dinner."
Quinoa Vegetable Upma Recipe,"1 cup Quinoa,2 cups Water,2 tablespoons Extra Virgin Olive Oil,1 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),6 Curry leaves,2 Green Chillies - finely chopped,1 Shallot - finely chopped,1 Tomato - finely chopped,1/4 cup Carrot (Gajjar) - finely chopped,1/4 Del Monte Whole Corn Kernels,1/4 Green peas (Matar),Green beans (French Beans) - finely chopped,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,Salt - as needed,Coriander (Dhania) Leaves - few",100,low,Fusion,Indian Breakfast,Diabetic Friendly,"To begin making Quinoa Vegetable Khichdi, first heat a heavy bottomed pan on medium flame, add the olive oil and mustard seeds and allow them to splutter. Next add the cumin seeds, urad dal, channa dal, curry leaves and green chili. Saute it all for a few seconds.Add the chopped shallots and sprinkle a little salt. Saute gently until they turn translucent. Next, add the vegetables - beans, carrots, corn, peas and cook on a medium flame until they are half cooked.Next, add the chopped tomatoes, mix well and saute sauté for a couple of minutes. Follow this by adding coriander powder, garam masala, quinoa and sauté once again for a couple of minutes, until the masalas cook through.Add 2 cups of water and adjust salt according to your taste.Increase the heat to medium and bring the water to a boil. Then, reduce the heat and cover the pan, allowing the quinoa to cooked completely. It will absorb all the water completely.Take the pan off the heat, garnish the Quinoa Vegetable Upma with fresh chopped coriander leaves and serve.Quinoa Vegetable Upma can be served with Lehsuni Pudina Chutney Recipe and Apple, Kiwi, Pineapple Juice Recipe. "
Whole Wheat Espresso Chocolate Streusel Cake Recipe,"1 cup Apricots - finely chopped,3/4 cup Whole Wheat Flour,3/4 cup Brown Sugar (Demerara Sugar),1/2 cup Butter (unsalted) - cold and cut in a small chunks,1 teaspoon Cinnamon Powder (Dalchini),4 tablespoon Sugar,3/4 cup Pecans - chopped coarsely,1-3/4 cup Whole Wheat Flour,125 grams Butter (unsalted) - at room temperature,1/4 cup Cocoa Powder,225 grams Dark chocolate - coarsely chopped,1 cup Brown Sugar (Demerara Sugar),1/4 cup Coffee Decoction,2 Whole Eggs,2 teaspoon Vanilla Extract,3/4 cup Sour cream,1-1/2 teaspoon Baking powder,3/4 teaspoon Baking soda",150,low,Continental,Dessert,Vegetarian,"To begin making the Whole Wheat Espresso Chocolate Streusel Cake Recipe, first get all the ingredients ready for all the steps.To make the Streusel topping, combine all the ingredients in a bowl. Using your fingers make a coarse crumble of the mixture. Refrigerate the crumble until we are ready to use it.To make the center layer of the Streusel, combine the sugar and nuts in a bowl and keep it aside.The next step is the make the cake. Preheat the oven at 180 C. Grease and line 9-inch round cake pan.In a double boiler, melt the chocolate. Once the chocolate melts, add the espresso to the melted chocolate and stir well to combine until it looks creamy and smooth. Keep the melted chocolate sauce aside.Sift in a bowl, flour, baking powder, baking soda and cocoa powder and keep aside.Beat together sugar, butter and sour cream using a hand mixer until just creamy. Do not over beat it. Add one egg and continue to beat until the eggs are fluffy. Gradually beat in the vanilla essence and espresso chocolate mixture. Finally gradually fold in the flour mixture and beat until the cake mixture is just about combined. Don't overbeat at this stage.Pour 1/2 of the cake batter in into the cake pan. Spread the nuts and sugar over this layer and finally top it with the remaining cake batter. Finally sprinkle the refrigerated streusel topping evenly on the top and press it slightly.Place the cake in the preheated oven and bake for about 55 to 60 minutes, until a tester inserted in the center comes out clean. Note: After 30 minutes, if you find the top over browning, just cover with aluminium foil to avoid burning.Once done, remove from the oven and allow the cake to cool. Once cooled, the Whole Wheat Espresso Chocolate Cake is ready to be served."
Basella Fritters Recipe - Malabar Spinach Fritters,"200 grams Basella (Malabar Spinach),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Gram flour (besan),1/2 cup Corn flour,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Enos fruit salt - or baking powder,1/2 teaspoon Red Chilli powder - for the batter,Sunflower Oil - for frying,1/4 cup Water,Sunflower Oil - for frying,Tomato Ketchup",350,moderate,Malabar,Snack,Vegetarian,"To begin making the Basella Fritters Recipe (Malabar Spinach Fritters), firstly pick only thin steam spinach leaves. Wash the leaves thoroughly and pat dry with a kitchen towel. Place the leaves in a bowl and sprinkle some red chilli powder, turmeric powder and salt. Take a mixing glass and add all the ingredients needed to make the fritters - Gram flour, Corn flour, Cumin seeds, Enos Salt or Baking Powder, Red Chilli powder and then add a little water to make semi thick consistency with no lumps in the batter. In a frying pan, add some oil and place the heat on medium to low flame. Dip each leaf in batter and drop it in the oil and fry until golden brown. Drain the oil from the fritters and place it on a kitchen paper towel. Serve Basella Fritters Recipe (Malabar Spinach Fritters) with Peanut Chilli Dipping Sauce and a hot cup of Adrak Chai on a cold winter evening. "
Fig Honey & Paprika Preserve Recipe,"500 grams Fresh Figs,1/4 cup Lemon juice,1 teaspoon Lemon zest,2 teaspoon Red Chilli flakes,1/2 cup Honey,1/4 cup Brown Sugar (Demerara Sugar)",200,moderate,Malabar,Snack,Vegetarian,"To begin making the Fig Honey & Paprika Preserve Recipe, wash and chop the figs and let them dryAdd honey and figs in a heavy bottomed saucepan and cook on high heat for about 5 minutes till the figs begin to caramelise a bit.To this stage, add the sugar and the remaining ingredients, turn the heat to low and allow it to cook until the figs turn soft.To check whether its done dip a chilled spoon into the boiling jam mixture and hold it above the pan, if the jam falls down together like a sheet rather than falling in drops then you know that the fig preserve is ready. If it is not, then simmer for some more time until you get that consistency.Once done, allow the Fig Honey & Paprika Preserve to cool completely. Store the Fig Honey & Paprika Preserve at room temperature in a clean container and use within a month.You can serve the Fig Honey & Paprika Preserve as a spread over cookies, over toasted bread or even over a custard bowl."
Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy),"1/2 cup Black Urad Dal (Split) - soaked overnight,1-2 Green Chillies - chopped,1 inch Ginger,Salt - to taste,1 pinch Enos fruit salt - or soda,1/4 teaspoon Lemon juice,1/4 teaspoon Sunflower Oil - ¼ and more for frying vadis,200 grams Spinach,1 cup Curd (Dahi / Yogurt),1 tablespoon Mustard oil,1 Dry Red Chilli - deseeded,2 Cloves (Laung),1 Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds - pounded,1 Bay leaf (tej patta),1/2 teaspoon Cumin seeds (Jeera),1 Green Chilli - finely chopped,1 pinch Asafoetida (hing),1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1/2 teaspoon Red Chilli powder,1/4 teaspoon Fennel Powder,1/4 teaspoon Black pepper powder - freshly crushed,1 teaspoon Dill leaves,Salt - to taste",250,moderate,Himachal,Side Dish,Vegetarian,"For the Dumplings (Vadi)To make Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy), make the dumplings by washing and soaking urad dal (split black gram) in about 1.5-2 cups water overnight.Drain and wash the dal.Heat water in a steamer and let it boil.In a blender/grinder jar, combine washed and drained urad dal, ginger, green chilli and grind to make a smooth paste adding about ¼ cup water gradually, so that the mixture is very thick and forms a paste.Take the paste in a bowl and add salt. Whisk it well till it becomes light and fluffy.Add eno and lemon juice and immediately transfer the mixture to a greased plate and steam for about 15-20 minutes.Remove from steamer and insert a toothpick to check whether it is done. If toothpick comes out clean, our vadi is ready. If it doesn’t come out clean, steam for another few minutes more.Meanwhile heat enough oil in a deep frying pan to fry the vadis.Cut the steamed vadis into square pieces.Deep fry the vadi pieces in hot oil till they are crisp and golden in colour.For the Palak PureeSoak Palak leaves in a bowl of water and pinch of salt for about 5 minutes.Remove the stems from the leaves. Roughly chop the leaves.Add water in a wide pan and bring to a boil. Then add spinach leaves and cook for 2 minutes.Immediately remove and soak the leaves in a bowl of ice cold water for a minute. Drain all the excess water.In a mixer/blender jar, add blanched palak leaves, dill leaves and about 1-2 tablespoons water and blend till you get a smooth puree.Keep the spinach puree aside.For the GravyHeat oil in a kadai. Add dry red chilli, cloves, cinnamon, cardamom, bay leaf and cumin seeds.Once they splutter, add green chilli and hing. Saute for a couple of seconds.Now turn off the flame and add jeera powder, dhaniya powder, red chili powder, fennel powder and black pepper powder. Mix well. Turn on the flame and saute for 1-2 minutes on a low flame so that spice powders does not burn.Add spinach puree and cook for about 2-3 minutes.Now add salt, whisked curd and the fried sepu vadis and let it simmer for 5-6 minutes. At this stage, you may add required quantity of water as per the consistency of the gravy you prefer. Switch off heat once the gravy is well combined.Serve Sepu Vadi Recipe (Split Urad Dal Dumplings In Spinach Gravy) with Papad Parathas Recipe, Pudina Tawa Paratha (Mint Leaf Skillet Flat Bread) or steamed rice."
